,song,artist,date,explicit,uri,popularity,ironhacker,links
59,Buffalo Soldier,Bob Marley & The Wailers,1983,False,spotify:track:7BfW1eoDh27W69nxsmRicb,76,11143498651,https://open.spotify.com/track/7BfW1eoDh27W69nxsmRicb
60,Three Little Birds,Bob Marley & The Wailers,1977-01-03,False,spotify:track:6A9mKXlFRPMPem6ygQSt7z,81,11143498651,https://open.spotify.com/track/6A9mKXlFRPMPem6ygQSt7z
61,Endless Summer,Cascada,2006,False,spotify:track:1xHlJeHGvk03LdotjC0DaN,33,11143498651,https://open.spotify.com/track/1xHlJeHGvk03LdotjC0DaN
62,Drop It Like It's Hot,"['Snoop Dogg', 'Pharrell Williams']",2004-01-01,True,spotify:track:2NBQmPrOEEjA8VbeWOQGxO,81,11143498651,https://open.spotify.com/track/2NBQmPrOEEjA8VbeWOQGxO
63,Ride Wit Me,"['Nelly', 'City Spud']",2000-06-27,True,spotify:track:3Gf5nttwcX9aaSQXRWidEZ,80,11143498651,https://open.spotify.com/track/3Gf5nttwcX9aaSQXRWidEZ
64,Cocody Rock,Alpha Blondy,2013-12-02,False,spotify:track:3LTJjpjOGt6lW8TaenjHlr,59,11143498651,https://open.spotify.com/track/3LTJjpjOGt6lW8TaenjHlr
65,Un'emozione per sempre,Eros Ramazzotti,2003-05-19,False,spotify:track:1Hd8GLavCUUUx3GJdunJ4E,62,11143498651,https://open.spotify.com/track/1Hd8GLavCUUUx3GJdunJ4E
66,La Hora De Bailar,Sandy & Papo,2005-01-01,False,spotify:track:6vPvOIFPhNGH8p4bhNjHHy,48,11143498651,https://open.spotify.com/track/6vPvOIFPhNGH8p4bhNjHHy
67,La vie c'est fantastique - Fantastique Radio Mix,"['S.M.S.', 'Rehb']",2001-01-01,False,spotify:track:3Xr90hZyFtjLaRithi6WtQ,45,11143498651,https://open.spotify.com/track/3Xr90hZyFtjLaRithi6WtQ
68,Because I Got High,Afroman,2001-08-28,True,spotify:track:0rRboI6IRuGx56Dq3UdYY4,73,11143498651,https://open.spotify.com/track/0rRboI6IRuGx56Dq3UdYY4
69,Israelites,Desmond Dekker,1968-01-01,False,spotify:track:0di7hMT6o1ogeUN1XDB9Ft,60,1164872058,https://open.spotify.com/track/0di7hMT6o1ogeUN1XDB9Ft
70,Skinhead Girl,Symarip,2008-09-29,False,spotify:track:7Jw2jj2NtZQDcZzhNxzBG7,35,1164872058,https://open.spotify.com/track/7Jw2jj2NtZQDcZzhNxzBG7
71,Bam Bam,Sister Nancy,2002-03-15,False,spotify:track:7ixiCZEHWHc8FxaQXQh2P4,72,1164872058,https://open.spotify.com/track/7ixiCZEHWHc8FxaQXQh2P4
72,Funky Kingston,Toots & The Maytals,1973-01-01,False,spotify:track:26WPI2aksB9XdqmeLfca5z,60,1164872058,https://open.spotify.com/track/26WPI2aksB9XdqmeLfca5z
73,"Oh Bondage, Up Yours!",X-Ray Spex,2013-01-01,False,spotify:track:18WswjCcjs3vmz4qWNOrSC,44,1164872058,https://open.spotify.com/track/18WswjCcjs3vmz4qWNOrSC
74,Rebel Girl,Bikini Kill,2015-10-13,False,spotify:track:0XyjtybwqSdqMAFfBEkmZf,63,1164872058,https://open.spotify.com/track/0XyjtybwqSdqMAFfBEkmZf
75,Deceptacon,Le Tigre,1999-10-26,True,spotify:track:5773KSWFzg9kCc8yazjbSt,74,1164872058,https://open.spotify.com/track/5773KSWFzg9kCc8yazjbSt
76,Lucha contra el tecno,Larsen,1983-09-01,True,spotify:track:5tX37tp7l4LtxtTyyOV237,11,1164872058,https://open.spotify.com/track/5tX37tp7l4LtxtTyyOV237
77,He Visto a la Virgen,Putilatex,2008-07-01,True,spotify:track:4q0uuMYXyKyMjmlONSu1tY,28,1164872058,https://open.spotify.com/track/4q0uuMYXyKyMjmlONSu1tY
78,Autosuficiencia,Paralisis Permanente,1990-03-03,False,spotify:track:5p4QGTJiTFStnddffBS4bK,45,1164872058,https://open.spotify.com/track/5p4QGTJiTFStnddffBS4bK
79,I Feel Free,Cream,1966-12-09,False,spotify:track:62nYkaIBesfvQSSwTjPnYS,61,1164872058,https://open.spotify.com/track/62nYkaIBesfvQSSwTjPnYS
80,"Catch Me Daddy - Live at the Winterland Ballroom, San Francisco, CA - April 1968","['Big Brother & The Holding Company', 'Janis Joplin']",1968-08-12,False,spotify:track:3qVswYwjgXBH1IOSMP2j3z,16,1164872058,https://open.spotify.com/track/3qVswYwjgXBH1IOSMP2j3z
81,Come Together,"['Ike & Tina Turner', 'The Ikettes']",1970-05-08,False,spotify:track:4XHuEHpj3YJIA5NGt7iyCh,47,1164872058,https://open.spotify.com/track/4XHuEHpj3YJIA5NGt7iyCh
82,I Wanna Be Your Dog,The Stooges,1969-08-05,False,spotify:track:672N8DGGTOLCOgWe0koX5g,64,1164872058,https://open.spotify.com/track/672N8DGGTOLCOgWe0koX5g
83,Short Change Hero,The Heavy,2009-10-05,False,spotify:track:7qxDU2QyH24KHW0OSGotVw,64,1164872058,https://open.spotify.com/track/7qxDU2QyH24KHW0OSGotVw
84,Joker And The Thief,Wolfmother,2005-01-01,False,spotify:track:6dNJ3lasVLPd0078T9yqlm,68,1164872058,https://open.spotify.com/track/6dNJ3lasVLPd0078T9yqlm
85,WTF Is In My Cup,Chico Blanco,2018-06-04,False,spotify:track:66HxHtqsgk2NgVQRqEgxyb,46,1182774545,https://open.spotify.com/track/66HxHtqsgk2NgVQRqEgxyb
86,Belittle No One,Mad Zach,2017-08-03,False,spotify:track:4eXSKwMnEB21iLRgGyle1l,34,1182774545,https://open.spotify.com/track/4eXSKwMnEB21iLRgGyle1l
87,"Eat That Up, It's Good For You",Two Door Cinema Club,2010-02-07,False,spotify:track:5XyyIkT6yfQQdxm55ztp04,0,rodrigamen,https://open.spotify.com/track/5XyyIkT6yfQQdxm55ztp04
88,When You Were Young,The Killers,2006-10-03,False,spotify:track:3gNGi2iUGHXGpBQHce6Nua,0,rodrigamen,https://open.spotify.com/track/3gNGi2iUGHXGpBQHce6Nua
89,Little Black Submarines - Radio Edit [radio edit],The Black Keys,2012-09-03,False,spotify:track:17609ifVvJ7Npd8IqVnRFc,47,rodrigamen,https://open.spotify.com/track/17609ifVvJ7Npd8IqVnRFc
90,Spanish Sahara,Foals,2010-06-05,False,spotify:track:0ikPZkDZ7CgZMmyt5o9t57,0,rodrigamen,https://open.spotify.com/track/0ikPZkDZ7CgZMmyt5o9t57
91,You've Got The Dirtee Love - Live At The Brit Awards 2010,"['Florence + The Machine', 'Dizzee Rascal']",2010-04-12,False,spotify:track:760QEV2aGbtjfPuhOp1NpF,0,rodrigamen,https://open.spotify.com/track/760QEV2aGbtjfPuhOp1NpF
92,Vidas cruzadas (feat. Ivan Ferreiro),"['Quique González', 'Ivan Ferreiro']",2006-04-03,False,spotify:track:7n3vJc7HYnvqo8Gn7FnXJh,53,rodrigamen,https://open.spotify.com/track/7n3vJc7HYnvqo8Gn7FnXJh
93,Los Días Raros - En Directo,Vetusta Morla,2015-04-21,False,spotify:track:2wss8ovgGaBZJlXAdaOqov,38,rodrigamen,https://open.spotify.com/track/2wss8ovgGaBZJlXAdaOqov
94,"Never Let Me Go - MTV Unplugged, 2012",Florence + The Machine,2012-01-01,False,spotify:track:7viVy4Pzl3vbISTFT0Y7BJ,36,rodrigamen,https://open.spotify.com/track/7viVy4Pzl3vbISTFT0Y7BJ
95,Baldosas Amarillas - En Directo,Vetusta Morla,2015-04-21,False,spotify:track:00TMWvbpUkrR68YbO4Kki5,32,rodrigamen,https://open.spotify.com/track/00TMWvbpUkrR68YbO4Kki5
96,Colectivo Nostalgia (En Directo),La Maravillosa Orquesta del Alcohol,2019-12-30,False,spotify:track:6LbpDY6KCoeGDvia2Vguqb,24,rodrigamen,https://open.spotify.com/track/6LbpDY6KCoeGDvia2Vguqb
97,Catedrales - En Directo,La Maravillosa Orquesta del Alcohol,2016-12-16,False,spotify:track:7usdrkCMCKmQMvy1itR6bA,24,rodrigamen,https://open.spotify.com/track/7usdrkCMCKmQMvy1itR6bA
98,Tierra,Xoel López,2012-04-17,False,spotify:track:6wNnwGKmH9u2HSAjUQ4kdR,55,rodrigamen,https://open.spotify.com/track/6wNnwGKmH9u2HSAjUQ4kdR
99,Tongue Tied,Grouplove,2011-09-02,False,spotify:track:0GO8y8jQk1PkHzS31d699N,84,rodrigamen,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
100,A Dónde Ir,Viva Suecia,2016-12-02,False,spotify:track:4nYjvyYo1Npf8Q5asm0tF3,50,rodrigamen,https://open.spotify.com/track/4nYjvyYo1Npf8Q5asm0tF3
101,On Melancholy Hill,Gorillaz,2010-03-03,False,spotify:track:0q6LuUqGLUiCPP1cbdwFs3,80,rodrigamen,https://open.spotify.com/track/0q6LuUqGLUiCPP1cbdwFs3
102,Cocinando Filete (feat. Cookin Soul),"['Yung Beef', 'Cookin Soul']",2018-01-05,True,spotify:track:3Df1PQ2DqnadLuDv3rjsMB,46,rodrigamen,https://open.spotify.com/track/3Df1PQ2DqnadLuDv3rjsMB
103,Intro,"['Cecilio G.', 'Limabeatz']",2019-03-01,True,spotify:track:0LpOZM7rngbGAD1rmNt0aD,0,rodrigamen,https://open.spotify.com/track/0LpOZM7rngbGAD1rmNt0aD
104,Si Mañana Me Muero,"['Yung Beef', 'Pipo Beatz', 'Julianno Sosa', 'Drago200', 'Uzii Gaang', 'Khaled', 'Harry Nach', 'Pablo Chill-E']",2020-12-04,True,spotify:track:44Bk6hYxoKTx9zuPMHBjBG,0,rodrigamen,https://open.spotify.com/track/44Bk6hYxoKTx9zuPMHBjBG
105,INTRO,Yung Beef,2021-04-15,True,spotify:track:6rPTgMKyULHjgnnoT4CeDr,40,rodrigamen,https://open.spotify.com/track/6rPTgMKyULHjgnnoT4CeDr
106,#BrooklynBloodPop! - Roku Remix,"['Rojuu', 'SyKo']",2021-05-31,False,spotify:track:7GjyiMXLwwSV5I3y3eVxO4,66,rodrigamen,https://open.spotify.com/track/7GjyiMXLwwSV5I3y3eVxO4
107,Nike Tiburón,PXXR GANGG,2019-11-22,True,spotify:track:3hBUXKlvQByNXTTdbzSGX0,41,rodrigamen,https://open.spotify.com/track/3hBUXKlvQByNXTTdbzSGX0
108,Contigo Me Voy,"['Kaydy Cain', 'EL IMA']",2021-06-22,False,spotify:track:4yuaPv20zZirxf1ufuygzP,69,rodrigamen,https://open.spotify.com/track/4yuaPv20zZirxf1ufuygzP
109,Disconnected,"['James Hype', 'Tita Lau']",2021-12-10,False,spotify:track:3MK2rvp7XjarzRKFrPGMOb,69,rodrigamen,https://open.spotify.com/track/3MK2rvp7XjarzRKFrPGMOb
110,Demons To Some Angels To Others,Cera Khin,2021-10-01,False,spotify:track:3Ph1ThoFVEqT4eiTV3hIq3,23,rodrigamen,https://open.spotify.com/track/3Ph1ThoFVEqT4eiTV3hIq3
111,Full Belly,Cera Khin,2021-09-24,False,spotify:track:3FO2udFq5htKXTN61UwDNU,27,rodrigamen,https://open.spotify.com/track/3FO2udFq5htKXTN61UwDNU
112,AER (All Engines Running),Fatima Hajji,2021-12-03,False,spotify:track:2X23kxJw0Tdi3al2xja4Gi,47,rodrigamen,https://open.spotify.com/track/2X23kxJw0Tdi3al2xja4Gi
113,Violines,Fatima Hajji,2013-05-13,False,spotify:track:2pdKI7EjvnHoyUU7cpbbMV,39,rodrigamen,https://open.spotify.com/track/2pdKI7EjvnHoyUU7cpbbMV
114,Donde Vas - Original Mix,Fatima Hajji,2021-07-16,False,spotify:track:3SJq5TjZOB01Q1nG2bzAYO,40,rodrigamen,https://open.spotify.com/track/3SJq5TjZOB01Q1nG2bzAYO
115,Groove 1.0,"['Abel The Kid', 'Raul Ortiz']",2001-10-20,False,spotify:track:6meQ1w79f2KSC2AibFAE16,34,rodrigamen,https://open.spotify.com/track/6meQ1w79f2KSC2AibFAE16
116,Groove 2.0 the Music,"['Abel The Kid', 'Raul Ortiz']",2002-05-20,False,spotify:track:6FnfWDH1LJEckq3b5pzR8u,25,rodrigamen,https://open.spotify.com/track/6FnfWDH1LJEckq3b5pzR8u
117,Groove 3.0 Hallelujah,"['Abel The Kid', 'Raul Ortiz']",2003-06-20,False,spotify:track:4MD8MruHP7LJCzeOL4pOBQ,28,rodrigamen,https://open.spotify.com/track/4MD8MruHP7LJCzeOL4pOBQ
118,"No Light, No Light - MTV Unplugged, 2012",Florence + The Machine,2012-01-01,False,spotify:track:4PTPbE3HvhxB9z3SYMBfz6,46,rodrigamen,https://open.spotify.com/track/4PTPbE3HvhxB9z3SYMBfz6
119,Qué no daría yo - Directo,Pastora Soler,2010-09-07,False,spotify:track:5DSHlxgIdt9eXs86Xyohjm,30,1182774545,https://open.spotify.com/track/5DSHlxgIdt9eXs86Xyohjm
120,Yelo,C. Tangana,2020-01-09,False,spotify:track:3OUPJPD1OmFd8gL7ztY9v8,59,pablo.manzi.16,https://open.spotify.com/track/3OUPJPD1OmFd8gL7ztY9v8
121,Humo y Alcohol - Feat. Jerv.AGZ & C. Tangana,"['Sticky M.A.', 'Jerv.AGZ', 'C. Tangana']",2018-02-23,True,spotify:track:2aaKChuWrI14YOmjN0gU9D,33,pablo.manzi.16,https://open.spotify.com/track/2aaKChuWrI14YOmjN0gU9D
122,La Última Canción,Rels B,2020-12-26,False,spotify:track:2mRwodUOATBk5spcUsEidB,74,pablo.manzi.16,https://open.spotify.com/track/2mRwodUOATBk5spcUsEidB
123,"Si Mañana Me Muero (feat. Pablo Chill-E, Julianno Sosa, Drago200, Harry Nach, Uzii Gaang & Khaled)","['Yung Beef', 'Pipo Beatz', 'Pablo Chill-E', 'Julianno Sosa', 'Drago200', 'Harry Nach', 'Uzii Gaang', 'Khaled']",2020-12-04,True,spotify:track:7FHvE7vpyQKK0NiULTxs0b,58,pablo.manzi.16,https://open.spotify.com/track/7FHvE7vpyQKK0NiULTxs0b
124,Hurricane,Ran-D,2018-08-13,False,spotify:track:7rKS9FoVpE1mLrbxCnlokX,60,pablo.manzi.16,https://open.spotify.com/track/7rKS9FoVpE1mLrbxCnlokX
125,Battleborn,"['Ran-D', 'Frequencerz', 'Adaro']",2020-05-01,False,spotify:track:5qaBcAcCuRaXAfQIVhwkws,56,pablo.manzi.16,https://open.spotify.com/track/5qaBcAcCuRaXAfQIVhwkws
126,Home,Headhunterz,2019-09-12,False,spotify:track:0zolxiS5uiL5towOJrsJi4,57,pablo.manzi.16,https://open.spotify.com/track/0zolxiS5uiL5towOJrsJi4
127,Tourment d' amour,"['La Fine Equipe', 'Saneyes']",2011-06-27,False,spotify:track:1pur8kv69XmZqA3uoMEYnH,59,1183037273,https://open.spotify.com/track/1pur8kv69XmZqA3uoMEYnH
