lon,lat,locality,year,month,kingdom,class,family,genus,species
11.60242,58.11857,Skutholmen,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
11.60242,58.11857,Skutholmen,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
11.60242,58.11857,Skutholmen,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
11.0,58.0,Bahusiae ad litus parvae insulae Skutholmen prope Prust.,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
-70.463358,41.400784,"Cape Poge Bay, Martha's Vineyard",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
-69.757715,43.708583,Seguin Island,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-69.757715,43.708583,Seguin Island,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
-70.463358,41.400784,"Cape Poge Bay, in the vicinity of Edgartown, unattached on borders of a tidal pond among marsh grasses",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
-70.530825,41.383653,"in the vicinity of Edgartown, littoral, on wharf",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-69.757715,43.708583,Seguin Island,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-70.530825,41.383653,"in the vicinity of Edgartown, littoral, on wharf",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-69.757715,43.708583,Sequin Island,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
,,Bahusiae ad litus parvae insulae I. Rutholmen[?] prope Arust[Orust?],1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-69.757715,43.708583,Sequin Island,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
