,DATE,AvgTemp
293,10/21/2014,49.0
294,10/22/2014,48.0
295,10/23/2014,46.0
296,10/24/2014,49.0
297,10/25/2014,49.0
298,10/26/2014,48.0
299,10/27/2014,47.0
300,10/28/2014,49.0
301,10/29/2014,49.0
302,10/30/2014,48.0
303,10/31/2014,47.0
304,11/1/2014,44.0
305,11/2/2014,48.0
306,11/3/2014,47.0
307,11/4/2014,43.0
308,11/5/2014,48.0
309,11/6/2014,50.0
310,11/7/2014,48.0
311,11/8/2014,46.0
312,11/9/2014,48.0
313,11/10/2014,51.0
314,11/11/2014,50.0
315,11/12/2014,49.0
316,11/13/2014,48.0
317,11/14/2014,46.0
318,11/15/2014,44.0
319,11/16/2014,47.0
320,11/17/2014,50.0
321,11/18/2014,47.0
322,11/19/2014,47.0
323,11/20/2014,45.0
324,11/21/2014,47.0
325,11/22/2014,46.0
326,11/23/2014,43.0
327,11/24/2014,50.0
328,11/25/2014,51.0
329,11/26/2014,48.0
330,11/27/2014,48.0
331,11/28/2014,47.0
332,11/29/2014,45.0
333,11/30/2014,43.0
334,12/1/2014,44.0
335,12/2/2014,43.0
336,12/3/2014,45.0
337,12/4/2014,47.0
338,12/5/2014,45.0
339,12/6/2014,44.0
340,12/7/2014,46.0
341,12/8/2014,48.0
342,12/9/2014,48.0
343,12/10/2014,50.0
344,12/11/2014,51.0
345,12/12/2014,46.0
346,12/13/2014,47.0
347,12/14/2014,47.0
348,12/15/2014,49.0
349,12/16/2014,49.0
350,12/17/2014,48.0
351,12/18/2014,48.0
352,12/19/2014,51.0
353,12/20/2014,48.0
354,12/21/2014,44.0
355,12/22/2014,39.0
356,12/23/2014,36.0
357,12/24/2014,41.0
358,12/25/2014,47.0
359,12/26/2014,47.0
360,12/27/2014,44.0
361,12/28/2014,48.0
362,12/29/2014,45.0
363,12/30/2014,45.0
364,12/31/2014,44.0
365,1/1/2015,45.0
366,1/2/2015,37.0
367,1/3/2015,33.0
368,1/4/2015,38.0
369,1/5/2015,44.0
370,1/6/2015,45.0
371,1/7/2015,46.0
372,1/8/2015,48.0
373,1/9/2015,46.0
374,1/10/2015,43.0
375,1/11/2015,46.0
376,1/12/2015,49.0
377,1/13/2015,49.0
378,1/14/2015,47.0
379,1/15/2015,48.0
380,1/16/2015,48.0
381,1/17/2015,48.0
382,1/18/2015,47.0
383,1/19/2015,48.0
384,1/20/2015,46.0
385,1/21/2015,49.0
386,1/22/2015,47.0
387,1/23/2015,54.0
388,1/24/2015,51.0
389,1/25/2015,48.0
390,1/26/2015,51.0
391,1/27/2015,47.0
392,1/28/2015,45.0
393,1/29/2015,45.0
394,1/30/2015,45.0
395,1/31/2015,43.0
396,2/1/2015,45.0
397,2/2/2015,46.0
398,2/3/2015,48.0
399,2/4/2015,45.0
400,2/5/2015,44.0
401,2/6/2015,40.0
402,2/7/2015,43.0
403,2/8/2015,51.0
404,2/9/2015,49.0
405,2/10/2015,43.0
406,2/11/2015,44.0
407,2/12/2015,45.0
408,2/13/2015,47.0
409,2/14/2015,48.0
410,2/15/2015,44.0
411,2/16/2015,45.0
412,2/17/2015,45.0
413,2/18/2015,45.0
414,2/19/2015,47.0
415,2/20/2015,47.0
416,2/21/2015,44.0
417,2/22/2015,44.0
418,2/23/2015,47.0
419,2/24/2015,48.0
420,2/25/2015,48.0
421,2/26/2015,42.0
