,date,IPG3113N
164,1985-09-01,89.38983115169782
165,1985-10-01,112.09491937086604
166,1985-11-01,113.50936220742167
167,1985-12-01,116.92238091386012
168,1986-01-01,97.24242070161876
169,1986-02-01,93.49783733957314
170,1986-03-01,78.70426130490665
171,1986-04-01,73.54393681096721
172,1986-05-01,76.41386859054063
173,1986-06-01,76.67362752705698
174,1986-07-01,73.31294010963605
175,1986-08-01,79.4592699785182
176,1986-09-01,88.36048268623298
177,1986-10-01,115.79556042915652
178,1986-11-01,119.3057515482172
179,1986-12-01,115.33696256814802
180,1987-01-01,97.09721136148237
181,1987-02-01,94.20171315063322
182,1987-03-01,83.54840094955324
183,1987-04-01,77.26584993903006
184,1987-05-01,77.94925263129511
185,1987-06-01,79.07567364051002
186,1987-07-01,76.02927356381072
